"Product","Branch","City","Customer type","Quantity","Unit price","Payment","Rating"
"Health and beauty","Branch A","Yangon","Member","7","86.37","Cash","4.8"
"Fashion accessories","Branch B","Mandalay","Normal","7","70.53","Cash","3.8"
"Home and lifestyle","Branch C","Naypyitaw","Normal","1","41.34","UPI","3.4"
"Electronic accessories","Branch A","Yangon","Member","1","22.42","E-wallet","3.2"
"Fashion accessories","Branch B","Mandalay","Normal","4","87.21","UPI","4.1"
"Food and beverages","Branch C","Naypyitaw","Member","1","19.53","E-wallet","4.3"
"Health and beauty","Branch A","Yangon","Member","7","72.67","E-wallet","3.1"
"Home and lifestyle","Branch B","Mandalay","Member","10","66.16","Cash","3.3"
"Home and lifestyle","Branch C","Naypyitaw","Normal","5","88.15","Cash","3.5"
"Home and lifestyle","Branch A","Yangon","Member","9","56.99","E-wallet","4.7"
"Electronic accessories","Branch B","Mandalay","Normal","6","31.89","Credit card","3.3"
"Food and beverages","Branch C","Naypyitaw","Member","9","98.29","Credit card","4.4"
"Fashion accessories","Branch A","Yangon","Member","2","97.14","E-wallet","3.9"
"Fashion accessories","Branch B","Mandalay","Member","4","46.61","Cash","4.4"
"Health and beauty","Branch C","Naypyitaw","Normal","9","74.02","Cash","4.9"
"Home and lifestyle","Branch A","Yangon","Normal","4","69.17","Credit card","4.5"
"Food and beverages","Branch B","Mandalay","Member","6","74.74","E-wallet","4.9"
"Sports and travel","Branch C","Naypyitaw","Member","4","15.71","Credit card","3.7"
"Home and lifestyle","Branch A","Yangon","Member","10","69.18","Cash","4.7"
"Sports and travel","Branch B","Mandalay","Member","6","79.16","Cash","3.9"
"Sports and travel","Branch C","Naypyitaw","Normal","5","48.77","UPI","3.5"
"Food and beverages","Branch A","Yangon","Member","6","90.28","UPI","4.2"
"Sports and travel","Branch B","Mandalay","Normal","4","19.29","Credit card","4.2"
"Food and beverages","Branch C","Naypyitaw","Member","2","49.07","Credit card","3.8"
"Health and beauty","Branch A","Yangon","Normal","5","56.4","UPI","5"
"Health and beauty","Branch B","Mandalay","Member","5","40.9","E-wallet","4.4"
"Fashion accessories","Branch C","Naypyitaw","Member","7","39.07","Cash","3.6"
"Fashion accessories","Branch A","Yangon","Member","8","71.55","Credit card","4"
"Fashion accessories","Branch B","Mandalay","Member","10","17.69","Credit card","4"
"Home and lifestyle","Branch C","Naypyitaw","Member","1","23.44","Credit card","3.9"
"Home and lifestyle","Branch A","Yangon","Normal","1","13.79","Cash","3.4"
"Health and beauty","Branch B","Mandalay","Normal","5","92.34","UPI","4.7"
"Fashion accessories","Branch C","Naypyitaw","Member","10","56.02","UPI","3.7"
"Home and lifestyle","Branch A","Yangon","Member","7","26.5","E-wallet","3.3"
"Sports and travel","Branch B","Mandalay","Member","6","21.92","UPI","3.2"
"Sports and travel","Branch C","Naypyitaw","Normal","3","88.79","E-wallet","5"
"Home and lifestyle","Branch A","Yangon","Normal","1","33.19","Credit card","4"
"Electronic accessories","Branch B","Mandalay","Member","1","81.15","Cash","4.7"
"Health and beauty","Branch C","Naypyitaw","Normal","7","17.43","Credit card","4.3"
"Electronic accessories","Branch A","Yangon","Normal","1","48.04","UPI","3.8"
"Food and beverages","Branch B","Mandalay","Member","9","26.91","Credit card","3.8"
"Home and lifestyle","Branch C","Naypyitaw","Normal","8","71.56","Cash","4.9"
"Home and lifestyle","Branch A","Yangon","Member","8","94.07","Cash","3.2"
"Health and beauty","Branch B","Mandalay","Member","5","39.52","E-wallet","4.4"
"Food and beverages","Branch C","Naypyitaw","Normal","3","46.13","Cash","3.9"
"Home and lifestyle","Branch A","Yangon","Member","7","43.32","E-wallet","3.3"
"Home and lifestyle","Branch B","Mandalay","Member","5","28.54","Cash","4.3"
"Food and beverages","Branch C","Naypyitaw","Normal","8","27.26","UPI","3.4"
"Food and beverages","Branch A","Yangon","Member","3","58.69","Cash","5"
"Fashion accessories","Branch B","Mandalay","Normal","2","42.89","Cash","3.3"
"Home and lifestyle","Branch C","Naypyitaw","Member","1","52.32","Cash","3.7"
"Food and beverages","Branch A","Yangon","Normal","8","82.29","Cash","3.5"
"Home and lifestyle","Branch B","Mandalay","Normal","7","78.99","Credit card","3.1"
"Home and lifestyle","Branch C","Naypyitaw","Normal","4","45.31","E-wallet","4.6"
"Health and beauty","Branch A","Yangon","Normal","4","68.82","E-wallet","3.7"
"Food and beverages","Branch B","Mandalay","Member","5","84.58","Credit card","4.2"
"Electronic accessories","Branch C","Naypyitaw","Normal","2","48.22","E-wallet","4.5"
"Health and beauty","Branch A","Yangon","Normal","1","37.61","Credit card","5"
"Home and lifestyle","Branch B","Mandalay","Member","7","59.1","E-wallet","4.8"
"Home and lifestyle","Branch C","Naypyitaw","Normal","3","16.14","E-wallet","4.1"
"Health and beauty","Branch A","Yangon","Normal","8","44.06","UPI","3"
"Home and lifestyle","Branch B","Mandalay","Member","1","70.92","UPI","4.8"
"Health and beauty","Branch C","Naypyitaw","Normal","10","83.91","E-wallet","3.4"
"Health and beauty","Branch A","Yangon","Member","7","63.26","Credit card","4.3"
"Electronic accessories","Branch B","Mandalay","Normal","5","16.95","E-wallet","4.1"
"Home and lifestyle","Branch C","Naypyitaw","Member","2","65.12","Cash","4.4"
"Home and lifestyle","Branch A","Yangon","Member","8","92.28","Cash","3.8"
"Electronic accessories","Branch B","Mandalay","Member","9","30.09","Cash","4.7"
"Fashion accessories","Branch C","Naypyitaw","Normal","1","86.44","Credit card","4"
"Home and lifestyle","Branch A","Yangon","Normal","6","92.07","Credit card","4.3"
"Home and lifestyle","Branch B","Mandalay","Member","7","26.85","UPI","3.1"
"Health and beauty","Branch C","Naypyitaw","Normal","8","62.24","UPI","4.5"
"Sports and travel","Branch A","Yangon","Member","9","79.73","E-wallet","4.1"
"Home and lifestyle","Branch B","Mandalay","Normal","9","16.89","UPI","3.8"
"Home and lifestyle","Branch C","Naypyitaw","Normal","7","52.18","E-wallet","4.6"
"Sports and travel","Branch A","Yangon","Member","8","73.6","UPI","3.1"
"Sports and travel","Branch B","Mandalay","Normal","9","36.58","UPI","4.8"
"Health and beauty","Branch C","Naypyitaw","Member","6","38.77","E-wallet","4.5"
"Food and beverages","Branch A","Yangon","Member","4","95.76","E-wallet","3.7"
"Food and beverages","Branch B","Mandalay","Normal","5","93.02","UPI","5"
"Food and beverages","Branch C","Naypyitaw","Normal","8","85.95","Credit card","3.9"
"Health and beauty","Branch A","Yangon","Member","2","43.85","UPI","4.3"
"Sports and travel","Branch B","Mandalay","Normal","2","35.2","UPI","4"
"Health and beauty","Branch C","Naypyitaw","Member","2","97","UPI","4.6"
"Sports and travel","Branch A","Yangon","Normal","2","23.37","UPI","3.4"
"Food and beverages","Branch B","Mandalay","Normal","8","81.64","Cash","4.7"
"Electronic accessories","Branch C","Naypyitaw","Normal","9","83.84","Credit card","3.3"
"Home and lifestyle","Branch A","Yangon","Normal","6","16.98","Cash","3.3"
"Fashion accessories","Branch B","Mandalay","Member","7","69.94","Credit card","4.4"
"Sports and travel","Branch C","Naypyitaw","Member","7","19.19","UPI","4.7"
"Health and beauty","Branch A","Yangon","Normal","3","19.87","Cash","4.6"
"Home and lifestyle","Branch B","Mandalay","Normal","9","30.12","E-wallet","4.6"
"Fashion accessories","Branch C","Naypyitaw","Member","6","65.04","Credit card","4"
"Health and beauty","Branch A","Yangon","Member","10","45.02","Credit card","4.2"
"Health and beauty","Branch B","Mandalay","Member","1","12.99","E-wallet","4.4"
"Health and beauty","Branch C","Naypyitaw","Member","5","26.67","Cash","3.7"
"Fashion accessories","Branch A","Yangon","Normal","6","22.85","Credit card","3.7"
"Food and beverages","Branch B","Mandalay","Normal","8","51.08","Credit card","3.1"
"Home and lifestyle","Branch C","Naypyitaw","Member","6","16.65","Credit card","3.2"
"Food and beverages","Branch A","Yangon","Member","5","77.76","Cash","3.8"
"Health and beauty","Branch B","Mandalay","Normal","6","61.07","E-wallet","4.6"
"Home and lifestyle","Branch C","Naypyitaw","Normal","2","85.05","E-wallet","3"
"Sports and travel","Branch A","Yangon","Member","4","29.23","UPI","4.3"
"Home and lifestyle","Branch B","Mandalay","Normal","7","94.54","E-wallet","4.9"
"Sports and travel","Branch C","Naypyitaw","Normal","4","79.6","Credit card","4.1"
"Sports and travel","Branch A","Yangon","Normal","6","68.01","UPI","4.4"
"Food and beverages","Branch B","Mandalay","Member","5","11.28","E-wallet","3.8"
"Health and beauty","Branch C","Naypyitaw","Member","5","80.59","Cash","4.9"
"Food and beverages","Branch A","Yangon","Normal","2","92.78","UPI","3.5"
"Home and lifestyle","Branch B","Mandalay","Member","4","37.46","UPI","3.2"
"Home and lifestyle","Branch C","Naypyitaw","Member","2","22.89","Credit card","4.6"
"Home and lifestyle","Branch A","Yangon","Normal","8","30.41","UPI","5"
"Sports and travel","Branch B","Mandalay","Normal","5","51.82","Credit card","5"
"Fashion accessories","Branch C","Naypyitaw","Normal","4","35.25","UPI","5"
"Health and beauty","Branch A","Yangon","Normal","7","29.35","Credit card","3.1"
"Fashion accessories","Branch B","Mandalay","Normal","7","99.26","E-wallet","3.2"
"Health and beauty","Branch C","Naypyitaw","Member","2","15.26","Credit card","3.2"
"Food and beverages","Branch A","Yangon","Member","4","82.52","UPI","4.7"
"Sports and travel","Branch B","Mandalay","Normal","2","72.08","Credit card","4.8"
"Health and beauty","Branch C","Naypyitaw","Normal","1","29.02","Credit card","4.5"
"Sports and travel","Branch A","Yangon","Normal","1","23.77","E-wallet","3"
"Fashion accessories","Branch B","Mandalay","Normal","6","37.01","UPI","3.3"
"Food and beverages","Branch C","Naypyitaw","Normal","8","17.96","Cash","3.2"
"Sports and travel","Branch A","Yangon","Normal","1","75.09","Credit card","3.7"
"Health and beauty","Branch B","Mandalay","Member","2","13.53","E-wallet","4.3"
"Food and beverages","Branch C","Naypyitaw","Normal","4","52.68","Cash","4.9"
"Electronic accessories","Branch A","Yangon","Normal","8","76.13","UPI","3.7"
"Health and beauty","Branch B","Mandalay","Member","5","22.01","UPI","4.8"
"Home and lifestyle","Branch C","Naypyitaw","Member","6","93.54","Cash","3.1"
"Home and lifestyle","Branch A","Yangon","Normal","8","14.14","E-wallet","4"
"Food and beverages","Branch B","Mandalay","Normal","7","35.07","Credit card","4.1"
"Food and beverages","Branch C","Naypyitaw","Member","2","45.98","UPI","3.6"
"Food and beverages","Branch A","Yangon","Normal","5","24.44","Credit card","3.7"
"Food and beverages","Branch B","Mandalay","Member","9","98.43","E-wallet","5"
"Fashion accessories","Branch C","Naypyitaw","Normal","1","68.07","Credit card","3.1"
"Food and beverages","Branch A","Yangon","Member","9","74.64","E-wallet","3.6"
"Fashion accessories","Branch B","Mandalay","Normal","3","58.12","E-wallet","3"
"Home and lifestyle","Branch C","Naypyitaw","Member","3","51.61","Credit card","4.7"
"Electronic accessories","Branch A","Yangon","Normal","1","20.95","E-wallet","4.1"
"Health and beauty","Branch B","Mandalay","Member","1","28.86","E-wallet","3.4"
"Health and beauty","Branch C","Naypyitaw","Member","8","38.98","UPI","3.6"
"Electronic accessories","Branch A","Yangon","Normal","1","98.6","UPI","3.9"
"Health and beauty","Branch B","Mandalay","Normal","6","41.89","Credit card","3"
"Health and beauty","Branch C","Naypyitaw","Normal","3","41.84","E-wallet","4.1"
"Electronic accessories","Branch A","Yangon","Member","1","84.8","E-wallet","4.6"
"Food and beverages","Branch B","Mandalay","Member","10","86.68","Cash","4"
"Electronic accessories","Branch C","Naypyitaw","Normal","1","55.53","Credit card","3.2"
"Fashion accessories","Branch A","Yangon","Member","9","83.98","E-wallet","3.3"
"Electronic accessories","Branch B","Mandalay","Member","10","83.84","Cash","3"
"Electronic accessories","Branch C","Naypyitaw","Normal","7","28.51","Cash","3"
"Home and lifestyle","Branch A","Yangon","Member","2","27.1","Cash","4.8"
"Health and beauty","Branch B","Mandalay","Member","5","56.77","E-wallet","3.1"
"Electronic accessories","Branch C","Naypyitaw","Normal","6","53.39","UPI","3.5"
"Food and beverages","Branch A","Yangon","Member","7","70.32","UPI","3"
"Health and beauty","Branch B","Mandalay","Member","7","54.43","UPI","3.9"
"Food and beverages","Branch C","Naypyitaw","Member","2","13.71","UPI","3.8"
"Food and beverages","Branch A","Yangon","Normal","9","98.74","E-wallet","3.8"
"Electronic accessories","Branch B","Mandalay","Member","10","90.8","Cash","4.9"
"Home and lifestyle","Branch C","Naypyitaw","Member","10","71.66","Credit card","5"
"Sports and travel","Branch A","Yangon","Member","4","99.31","E-wallet","4.9"
"Fashion accessories","Branch B","Mandalay","Member","9","71.07","Cash","4.8"
"Fashion accessories","Branch C","Naypyitaw","Normal","7","56.79","Credit card","4.5"
"Sports and travel","Branch A","Yangon","Member","6","89.49","Credit card","4.6"
"Health and beauty","Branch B","Mandalay","Member","6","94.85","Cash","4.7"
"Health and beauty","Branch C","Naypyitaw","Member","7","11.55","Credit card","3.8"
"Fashion accessories","Branch A","Yangon","Member","2","63.45","Credit card","4"
"Food and beverages","Branch B","Mandalay","Member","1","64.95","Cash","4.8"
"Food and beverages","Branch C","Naypyitaw","Normal","10","32.66","Cash","3.8"
"Health and beauty","Branch A","Yangon","Member","4","37.49","E-wallet","5"
"Home and lifestyle","Branch B","Mandalay","Member","4","95.33","Credit card","4.9"
"Sports and travel","Branch C","Naypyitaw","Member","10","95.68","UPI","4.5"
"Fashion accessories","Branch A","Yangon","Normal","2","97.16","Cash","3.3"
"Food and beverages","Branch B","Mandalay","Member","9","11.11","Credit card","4.7"
"Health and beauty","Branch C","Naypyitaw","Member","3","52.23","E-wallet","3.4"
"Health and beauty","Branch A","Yangon","Member","6","43.98","Cash","3.1"
"Sports and travel","Branch B","Mandalay","Member","3","75.56","E-wallet","3.2"
"Fashion accessories","Branch C","Naypyitaw","Normal","5","30.37","Cash","4.7"
"Sports and travel","Branch A","Yangon","Normal","1","77.11","UPI","3.8"
"Electronic accessories","Branch B","Mandalay","Normal","8","10.5","UPI","3"
"Health and beauty","Branch C","Naypyitaw","Normal","5","71.98","Credit card","3.7"
"Sports and travel","Branch A","Yangon","Normal","7","17.07","Cash","4"
"Fashion accessories","Branch B","Mandalay","Member","8","60.49","Credit card","4.1"
"Home and lifestyle","Branch C","Naypyitaw","Member","7","84.99","E-wallet","5"
"Home and lifestyle","Branch A","Yangon","Normal","9","84.94","E-wallet","4.6"
"Fashion accessories","Branch B","Mandalay","Normal","6","70.34","E-wallet","3.3"
"Home and lifestyle","Branch C","Naypyitaw","Normal","9","86.55","Cash","3.5"
"Home and lifestyle","Branch A","Yangon","Member","10","85.21","UPI","3.8"
"Food and beverages","Branch B","Mandalay","Member","3","49.98","E-wallet","4.2"
"Home and lifestyle","Branch C","Naypyitaw","Member","1","49.43","Cash","4.4"
"Fashion accessories","Branch A","Yangon","Member","7","30.4","Cash","4.1"
"Health and beauty","Branch B","Mandalay","Normal","9","94.73","E-wallet","4.1"
"Electronic accessories","Branch C","Naypyitaw","Member","3","47.1","E-wallet","4.2"
"Electronic accessories","Branch A","Yangon","Normal","9","83.52","Cash","4"
"Electronic accessories","Branch B","Mandalay","Member","3","20.14","E-wallet","4"
"Home and lifestyle","Branch C","Naypyitaw","Member","1","14.33","E-wallet","3.1"
"Health and beauty","Branch A","Yangon","Member","6","45.21","E-wallet","3.3"
"Fashion accessories","Branch B","Mandalay","Member","3","24.96","UPI","3.8"
"Health and beauty","Branch C","Naypyitaw","Normal","4","56.59","UPI","3.1"
"Home and lifestyle","Branch A","Yangon","Normal","5","49.97","Cash","4.4"
"Sports and travel","Branch B","Mandalay","Member","2","22.64","Credit card","4"
"Fashion accessories","Branch C","Naypyitaw","Member","4","22.19","Credit card","4.1"
"Food and beverages","Branch A","Yangon","Member","10","74.19","UPI","4"
"Electronic accessories","Branch B","Mandalay","Normal","5","57.06","UPI","4.3"
"Sports and travel","Branch C","Naypyitaw","Normal","10","86.44","Cash","3.1"
"Health and beauty","Branch A","Yangon","Normal","7","50.49","UPI","3.4"
"Health and beauty","Branch B","Mandalay","Member","1","92.17","Cash","3.6"
"Home and lifestyle","Branch C","Naypyitaw","Normal","1","27.31","UPI","3.8"
"Fashion accessories","Branch A","Yangon","Member","10","11.79","E-wallet","3.1"
"Electronic accessories","Branch B","Mandalay","Member","6","87.65","Credit card","4.7"
"Food and beverages","Branch C","Naypyitaw","Normal","9","65.04","UPI","3.2"
"Fashion accessories","Branch A","Yangon","Member","7","47.51","Credit card","4.6"
"Electronic accessories","Branch B","Mandalay","Member","1","45.73","Cash","4.9"
"Health and beauty","Branch C","Naypyitaw","Member","1","37.53","Cash","3"
"Health and beauty","Branch A","Yangon","Member","3","30.85","Credit card","3.4"
"Electronic accessories","Branch B","Mandalay","Normal","3","55.51","E-wallet","4.2"
"Food and beverages","Branch C","Naypyitaw","Normal","8","94.34","UPI","4.3"
"Home and lifestyle","Branch A","Yangon","Member","8","92.27","UPI","4.8"
"Food and beverages","Branch B","Mandalay","Normal","8","38.67","Credit card","3.3"
"Home and lifestyle","Branch C","Naypyitaw","Member","1","10.78","E-wallet","3.4"
"Sports and travel","Branch A","Yangon","Normal","4","98.57","E-wallet","3"
"Health and beauty","Branch B","Mandalay","Member","7","33.13","E-wallet","3.4"
"Food and beverages","Branch C","Naypyitaw","Member","3","15.48","UPI","4.6"
"Fashion accessories","Branch A","Yangon","Normal","4","31.91","Cash","3.4"
"Sports and travel","Branch B","Mandalay","Normal","2","86.57","E-wallet","3.4"
"Sports and travel","Branch C","Naypyitaw","Member","8","68.58","E-wallet","4.7"
"Electronic accessories","Branch A","Yangon","Member","7","67.26","Credit card","4"
"Sports and travel","Branch B","Mandalay","Normal","1","34.07","E-wallet","3.1"
"Health and beauty","Branch C","Naypyitaw","Member","9","68.77","Credit card","3.6"
"Health and beauty","Branch A","Yangon","Normal","10","75.84","E-wallet","3.1"
"Sports and travel","Branch B","Mandalay","Normal","4","15.49","UPI","4.8"
"Sports and travel","Branch C","Naypyitaw","Normal","3","59.49","Cash","4.3"
"Food and beverages","Branch A","Yangon","Member","10","46.88","E-wallet","4"
"Food and beverages","Branch B","Mandalay","Member","9","41.1","UPI","3.7"
"Sports and travel","Branch C","Naypyitaw","Member","9","98.46","Cash","3.6"
"Fashion accessories","Branch A","Yangon","Normal","9","97.98","UPI","4.4"
"Health and beauty","Branch B","Mandalay","Member","3","55.69","Credit card","4.4"
"Electronic accessories","Branch C","Naypyitaw","Normal","8","40.12","Credit card","3"
"Home and lifestyle","Branch A","Yangon","Normal","10","49.57","UPI","3.2"
"Fashion accessories","Branch B","Mandalay","Member","7","51.02","Credit card","5"
"Sports and travel","Branch C","Naypyitaw","Normal","6","27.09","UPI","3.2"
"Electronic accessories","Branch A","Yangon","Member","3","34.16","UPI","3.4"
"Food and beverages","Branch B","Mandalay","Member","10","65.19","E-wallet","3.4"
"Health and beauty","Branch C","Naypyitaw","Member","5","87.59","Cash","4.3"
"Sports and travel","Branch A","Yangon","Normal","5","42.02","UPI","4.8"
"Home and lifestyle","Branch B","Mandalay","Member","4","91.37","Cash","3.4"
"Health and beauty","Branch C","Naypyitaw","Member","7","83.07","E-wallet","4.3"
"Food and beverages","Branch A","Yangon","Member","8","76.22","Cash","4.7"
"Home and lifestyle","Branch B","Mandalay","Normal","2","21.6","Cash","4.3"
"Health and beauty","Branch C","Naypyitaw","Member","4","29.24","E-wallet","3.7"
"Health and beauty","Branch A","Yangon","Member","7","67.97","E-wallet","3.5"
"Fashion accessories","Branch B","Mandalay","Normal","1","79.87","Credit card","4.2"
"Food and beverages","Branch C","Naypyitaw","Normal","4","66.61","E-wallet","4.4"
"Food and beverages","Branch A","Yangon","Member","1","88.9","E-wallet","5"
"Sports and travel","Branch B","Mandalay","Member","6","98.51","E-wallet","3.3"
"Sports and travel","Branch C","Naypyitaw","Member","4","77.75","UPI","4.9"
"Food and beverages","Branch A","Yangon","Member","3","74.28","Cash","4.4"
"Electronic accessories","Branch B","Mandalay","Normal","7","51.83","UPI","4.6"
"Sports and travel","Branch C","Naypyitaw","Member","6","97.28","UPI","4.1"
"Food and beverages","Branch A","Yangon","Member","5","67.67","UPI","4.4"
"Electronic accessories","Branch B","Mandalay","Member","10","62.13","UPI","3.6"
"Health and beauty","Branch C","Naypyitaw","Normal","7","96.69","Credit card","4.7"
"Food and beverages","Branch A","Yangon","Member","9","11.16","UPI","4.1"
"Sports and travel","Branch B","Mandalay","Member","1","64.24","UPI","5"
"Health and beauty","Branch C","Naypyitaw","Member","1","98.45","Credit card","3.1"
"Sports and travel","Branch A","Yangon","Member","7","44.44","Cash","3.8"
"Fashion accessories","Branch B","Mandalay","Member","9","44.42","UPI","3.2"
"Fashion accessories","Branch C","Naypyitaw","Normal","8","96.57","Credit card","3.5"
"Food and beverages","Branch A","Yangon","Member","3","32.39","E-wallet","3.4"
"Fashion accessories","Branch B","Mandalay","Normal","6","99.66","UPI","4.9"
"Home and lifestyle","Branch C","Naypyitaw","Member","1","18.01","Credit card","3"
"Electronic accessories","Branch A","Yangon","Member","5","84.87","UPI","4.2"
"Home and lifestyle","Branch B","Mandalay","Normal","6","40.73","Credit card","4.5"
"Fashion accessories","Branch C","Naypyitaw","Normal","10","82.37","E-wallet","3.5"
"Health and beauty","Branch A","Yangon","Member","1","32.84","Credit card","3.5"
"Electronic accessories","Branch B","Mandalay","Member","8","50.56","Credit card","3.6"
"Fashion accessories","Branch C","Naypyitaw","Member","5","46.14","E-wallet","3.9"
"Electronic accessories","Branch A","Yangon","Member","10","42.95","UPI","4.3"
"Health and beauty","Branch B","Mandalay","Normal","7","92.25","E-wallet","3.9"
"Electronic accessories","Branch C","Naypyitaw","Member","3","87.77","UPI","3.2"
"Fashion accessories","Branch A","Yangon","Normal","9","37.08","Cash","3.2"
"Home and lifestyle","Branch B","Mandalay","Normal","10","20.31","Cash","4.9"
"Sports and travel","Branch C","Naypyitaw","Normal","1","51.22","E-wallet","4.5"
"Sports and travel","Branch A","Yangon","Member","9","97.09","UPI","4.9"
"Fashion accessories","Branch B","Mandalay","Normal","6","58.92","Credit card","3.4"
"Health and beauty","Branch C","Naypyitaw","Normal","1","90.47","Cash","3.2"
"Health and beauty","Branch A","Yangon","Member","4","66.45","E-wallet","3.8"
"Home and lifestyle","Branch B","Mandalay","Normal","9","64.25","UPI","4.5"
"Electronic accessories","Branch C","Naypyitaw","Normal","10","23.9","Cash","4.1"
"Food and beverages","Branch A","Yangon","Normal","3","40.24","Credit card","3.6"
"Sports and travel","Branch B","Mandalay","Normal","10","27.32","E-wallet","3.9"
"Fashion accessories","Branch C","Naypyitaw","Normal","8","99.39","Credit card","4.9"
"Health and beauty","Branch A","Yangon","Normal","7","39.24","E-wallet","5"
"Electronic accessories","Branch B","Mandalay","Member","1","59.65","UPI","3.9"
"Sports and travel","Branch C","Naypyitaw","Member","9","53.66","Cash","3.5"
"Health and beauty","Branch A","Yangon","Member","4","84.24","E-wallet","3.3"
"Electronic accessories","Branch B","Mandalay","Normal","8","71.32","UPI","3.2"
"Home and lifestyle","Branch C","Naypyitaw","Member","9","15.8","E-wallet","4.3"
"Health and beauty","Branch A","Yangon","Member","7","35.27","Cash","4.2"
"Electronic accessories","Branch B","Mandalay","Normal","3","72.57","Cash","4.6"
"Home and lifestyle","Branch C","Naypyitaw","Member","9","21.91","Credit card","4.9"
"Home and lifestyle","Branch A","Yangon","Member","8","22.61","Cash","4.6"
"Health and beauty","Branch B","Mandalay","Normal","7","11.72","E-wallet","3.1"
"Sports and travel","Branch C","Naypyitaw","Member","2","32.69","Credit card","4.1"
"Health and beauty","Branch A","Yangon","Normal","5","69.49","Cash","4.3"
"Fashion accessories","Branch B","Mandalay","Normal","3","62.54","E-wallet","4.4"
"Home and lifestyle","Branch C","Naypyitaw","Member","10","51.45","UPI","3.5"
"Sports and travel","Branch A","Yangon","Member","8","17.23","E-wallet","4.2"
"Home and lifestyle","Branch B","Mandalay","Normal","9","56.81","Cash","4.6"
"Home and lifestyle","Branch C","Naypyitaw","Normal","1","73.69","E-wallet","3.1"
"Health and beauty","Branch A","Yangon","Normal","8","66.72","E-wallet","3.9"
"Home and lifestyle","Branch B","Mandalay","Normal","5","92.69","Credit card","4.5"
"Fashion accessories","Branch C","Naypyitaw","Normal","3","12.42","Cash","3.1"
"Fashion accessories","Branch A","Yangon","Normal","9","91.89","E-wallet","4"
"Food and beverages","Branch B","Mandalay","Member","5","95.57","Cash","3.8"
"Fashion accessories","Branch C","Naypyitaw","Member","1","86.97","Credit card","4"
"Fashion accessories","Branch A","Yangon","Normal","2","30.65","E-wallet","4.2"
"Fashion accessories","Branch B","Mandalay","Normal","3","41.16","E-wallet","3"
"Health and beauty","Branch C","Naypyitaw","Member","4","12.83","Credit card","3.1"
"Sports and travel","Branch A","Yangon","Member","5","98.72","Credit card","3.5"
"Sports and travel","Branch B","Mandalay","Member","5","35.21","E-wallet","3.5"
"Sports and travel","Branch C","Naypyitaw","Normal","8","39.19","Credit card","3.3"
